ProdutoID,DataRef,QtdEstoque
PROD000066,2023-02-28,66
PROD000067,2023-02-28,640
PROD000068,2023-02-28,464
PROD000069,2023-02-28,195
PROD000070,2023-02-28,735
PROD000071,2023-02-28,772
PROD000072,2023-02-28,486
PROD000073,2023-02-28,748
PROD000074,2023-02-28,760
PROD000075,2023-02-28,345
PROD000076,2023-02-28,628
PROD000077,2023-02-28,858
PROD000078,2023-02-28,353
PROD000079,2023-02-28,619
PROD000080,2023-02-28,923
PROD000081,2023-02-28,765
PROD000082,2023-02-28,558
PROD000083,2023-02-28,184
PROD000084,2023-02-28,808
PROD000085,2023-02-28,354
PROD000086,2023-02-28,705
PROD000087,2023-02-28,67
PROD000088,2023-02-28,684
PROD000089,2023-02-28,214
PROD000090,2023-02-28,305
PROD000091,2023-02-28,615
PROD000092,2023-02-28,703
PROD000093,2023-02-28,506
PROD000094,2023-02-28,172
PROD000095,2023-02-28,560
PROD000096,2023-02-28,433
PROD000097,2023-02-28,724
PROD000098,2023-02-28,789
PROD000099,2023-02-28,136
PROD000100,2023-02-28,347
PROD000101,2023-02-28,503
PROD000102,2023-02-28,773
PROD000103,2023-02-28,222
PROD000104,2023-02-28,793
PROD000105,2023-02-28,567
PROD000106,2023-02-28,433
PROD000107,2023-02-28,307
PROD000108,2023-02-28,65
PROD000109,2023-02-28,779
PROD000110,2023-02-28,84
PROD000111,2023-02-28,693
PROD000112,2023-02-28,66
PROD000113,2023-02-28,253
PROD000114,2023-02-28,435
PROD000115,2023-02-28,30
PROD000116,2023-02-28,684
PROD000117,2023-02-28,784
PROD000118,2023-02-28,680
PROD000119,2023-02-28,291
PROD000120,2023-02-28,555
PROD000121,2023-02-28,363
PROD000122,2023-02-28,163
PROD000123,2023-02-28,230
PROD000124,2023-02-28,709
PROD000125,2023-02-28,132
PROD000126,2023-02-28,552
PROD000127,2023-02-28,372
PROD000128,2023-02-28,459
PROD000129,2023-02-28,232
PROD000130,2023-02-28,508
PROD000131,2023-02-28,189
PROD000132,2023-02-28,103
PROD000133,2023-02-28,634
PROD000134,2023-02-28,212
PROD000135,2023-02-28,822
PROD000136,2023-02-28,624
PROD000137,2023-02-28,557
PROD000138,2023-02-28,412
PROD000139,2023-02-28,832
PROD000140,2023-02-28,143
PROD000141,2023-02-28,658
PROD000142,2023-02-28,531
PROD000143,2023-02-28,445
PROD000144,2023-02-28,326
PROD000145,2023-02-28,601
PROD000146,2023-02-28,372
PROD000147,2023-02-28,92
PROD000148,2023-02-28,549
PROD000149,2023-02-28,628
PROD000150,2023-02-28,357
PROD000001,2023-03-31,496
PROD000002,2023-03-31,668
PROD000003,2023-03-31,34
PROD000004,2023-03-31,93
PROD000005,2023-03-31,301
PROD000006,2023-03-31,617
PROD000007,2023-03-31,761
PROD000008,2023-03-31,438
PROD000009,2023-03-31,61
PROD000010,2023-03-31,36
PROD000011,2023-03-31,706
PROD000012,2023-03-31,296
PROD000013,2023-03-31,225
PROD000014,2023-03-31,460
PROD000015,2023-03-31,199
PROD000016,2023-03-31,353
PROD000017,2023-03-31,682
PROD000018,2023-03-31,198
PROD000019,2023-03-31,602
PROD000020,2023-03-31,397
PROD000021,2023-03-31,744
PROD000022,2023-03-31,337
PROD000023,2023-03-31,670
PROD000024,2023-03-31,442
PROD000025,2023-03-31,614
PROD000026,2023-03-31,125
PROD000027,2023-03-31,388
PROD000028,2023-03-31,457
PROD000029,2023-03-31,312
PROD000030,2023-03-31,461
PROD000031,2023-03-31,677
PROD000032,2023-03-31,686
PROD000033,2023-03-31,734
PROD000034,2023-03-31,566
PROD000035,2023-03-31,399
PROD000036,2023-03-31,303
PROD000037,2023-03-31,129
PROD000038,2023-03-31,870
PROD000039,2023-03-31,611
PROD000040,2023-03-31,128
PROD000041,2023-03-31,709
PROD000042,2023-03-31,640
PROD000043,2023-03-31,679
PROD000044,2023-03-31,777
PROD000045,2023-03-31,361
PROD000046,2023-03-31,136
PROD000047,2023-03-31,270
PROD000048,2023-03-31,249
PROD000049,2023-03-31,397
PROD000050,2023-03-31,173
PROD000051,2023-03-31,55
PROD000052,2023-03-31,202
PROD000053,2023-03-31,785
PROD000054,2023-03-31,67
PROD000055,2023-03-31,568
PROD000056,2023-03-31,251
PROD000057,2023-03-31,386
PROD000058,2023-03-31,391
PROD000059,2023-03-31,723
PROD000060,2023-03-31,460
PROD000061,2023-03-31,488
PROD000062,2023-03-31,678
PROD000063,2023-03-31,340
PROD000064,2023-03-31,561
PROD000065,2023-03-31,850
PROD000066,2023-03-31,67
PROD000067,2023-03-31,678
PROD000068,2023-03-31,465
PROD000069,2023-03-31,37
PROD000070,2023-03-31,852
PROD000071,2023-03-31,772
PROD000072,2023-03-31,571
PROD000073,2023-03-31,746
PROD000074,2023-03-31,578
PROD000075,2023-03-31,345
PROD000076,2023-03-31,627
PROD000077,2023-03-31,780
PROD000078,2023-03-31,421
PROD000079,2023-03-31,518
PROD000080,2023-03-31,757
PROD000081,2023-03-31,764
PROD000082,2023-03-31,556
PROD000083,2023-03-31,183
PROD000084,2023-03-31,676
PROD000085,2023-03-31,352
PROD000086,2023-03-31,772
PROD000087,2023-03-31,67
PROD000088,2023-03-31,684
PROD000089,2023-03-31,22
PROD000090,2023-03-31,138
PROD000091,2023-03-31,615
PROD000092,2023-03-31,702
PROD000093,2023-03-31,505
PROD000094,2023-03-31,171
PROD000095,2023-03-31,559
PROD000096,2023-03-31,616
PROD000097,2023-03-31,724
PROD000098,2023-03-31,912
PROD000099,2023-03-31,134
PROD000100,2023-03-31,345
PROD000101,2023-03-31,378
PROD000102,2023-03-31,592
PROD000103,2023-03-31,385
PROD000104,2023-03-31,942
PROD000105,2023-03-31,567
PROD000106,2023-03-31,509
PROD000107,2023-03-31,392
PROD000108,2023-03-31,216
PROD000109,2023-03-31,813
PROD000110,2023-03-31,84
PROD000111,2023-03-31,595
PROD000112,2023-03-31,64
PROD000113,2023-03-31,252
PROD000114,2023-03-31,434
PROD000115,2023-03-31,136
PROD000116,2023-03-31,685
PROD000117,2023-03-31,783
PROD000118,2023-03-31,566
PROD000119,2023-03-31,291
PROD000120,2023-03-31,519
PROD000121,2023-03-31,363
PROD000122,2023-03-31,163
PROD000123,2023-03-31,268
PROD000124,2023-03-31,751
PROD000125,2023-03-31,131
PROD000126,2023-03-31,550
PROD000127,2023-03-31,325
PROD000128,2023-03-31,457
PROD000129,2023-03-31,231
PROD000130,2023-03-31,508
PROD000131,2023-03-31,188
PROD000132,2023-03-31,101
PROD000133,2023-03-31,632
PROD000134,2023-03-31,367
PROD000135,2023-03-31,776
PROD000136,2023-03-31,622
PROD000137,2023-03-31,746
PROD000138,2023-03-31,581
PROD000139,2023-03-31,697
PROD000140,2023-03-31,205
PROD000141,2023-03-31,657
PROD000142,2023-03-31,531
PROD000143,2023-03-31,444
PROD000144,2023-03-31,379
PROD000145,2023-03-31,772
PROD000146,2023-03-31,187
PROD000147,2023-03-31,91
PROD000148,2023-03-31,550
PROD000149,2023-03-31,626
PROD000150,2023-03-31,356
PROD000001,2023-04-30,496
PROD000002,2023-04-30,665
PROD000003,2023-04-30,35
PROD000004,2023-04-30,92
PROD000005,2023-04-30,374
PROD000006,2023-04-30,615
PROD000007,2023-04-30,601
PROD000008,2023-04-30,438
PROD000009,2023-04-30,62
PROD000010,2023-04-30,38
PROD000011,2023-04-30,704
PROD000012,2023-04-30,348
PROD000013,2023-04-30,224
PROD000014,2023-04-30,588
PROD000015,2023-04-30,113
PROD000016,2023-04-30,453
PROD000017,2023-04-30,684
PROD000018,2023-04-30,331
PROD000019,2023-04-30,601
PROD000020,2023-04-30,472
PROD000021,2023-04-30,637
PROD000022,2023-04-30,162
PROD000023,2023-04-30,672
PROD000024,2023-04-30,508
PROD000025,2023-04-30,735
PROD000026,2023-04-30,122
PROD000027,2023-04-30,227
PROD000028,2023-04-30,456
PROD000029,2023-04-30,287
PROD000030,2023-04-30,462
PROD000031,2023-04-30,615
PROD000032,2023-04-30,653
PROD000033,2023-04-30,733
PROD000034,2023-04-30,463
PROD000035,2023-04-30,369
PROD000036,2023-04-30,304
PROD000037,2023-04-30,130
PROD000038,2023-04-30,852
PROD000039,2023-04-30,646
PROD000040,2023-04-30,127
PROD000041,2023-04-30,707
PROD000042,2023-04-30,685
PROD000043,2023-04-30,678
PROD000044,2023-04-30,775
PROD000045,2023-04-30,362
PROD000046,2023-04-30,136
PROD000047,2023-04-30,269
PROD000048,2023-04-30,250
PROD000049,2023-04-30,578
PROD000050,2023-04-30,172
PROD000051,2023-04-30,53
PROD000052,2023-04-30,369
PROD000053,2023-04-30,784
PROD000054,2023-04-30,65
PROD000055,2023-04-30,566
PROD000056,2023-04-30,249
PROD000057,2023-04-30,383
PROD000058,2023-04-30,389
PROD000059,2023-04-30,891
PROD000060,2023-04-30,460
PROD000061,2023-04-30,595
PROD000062,2023-04-30,674
PROD000063,2023-04-30,281
PROD000064,2023-04-30,560
PROD000065,2023-04-30,742
PROD000066,2023-04-30,64
PROD000067,2023-04-30,637
PROD000068,2023-04-30,463
PROD000069,2023-04-30,178
PROD000070,2023-04-30,732
PROD000071,2023-04-30,772
PROD000072,2023-04-30,486
PROD000073,2023-04-30,745
PROD000074,2023-04-30,577
PROD000075,2023-04-30,344
PROD000076,2023-04-30,768
PROD000077,2023-04-30,782
PROD000078,2023-04-30,514
PROD000079,2023-04-30,517
PROD000080,2023-04-30,758
PROD000081,2023-04-30,764
PROD000082,2023-04-30,556
PROD000083,2023-04-30,366
PROD000084,2023-04-30,674
PROD000085,2023-04-30,351
PROD000086,2023-04-30,704
PROD000087,2023-04-30,66
PROD000088,2023-04-30,684
PROD000089,2023-04-30,19
PROD000090,2023-04-30,137
PROD000091,2023-04-30,612
PROD000092,2023-04-30,703
PROD000093,2023-04-30,504
PROD000094,2023-04-30,169
PROD000095,2023-04-30,712
PROD000096,2023-04-30,530
PROD000097,2023-04-30,723
PROD000098,2023-04-30,789
PROD000099,2023-04-30,311
PROD000100,2023-04-30,347
PROD000101,2023-04-30,379
PROD000102,2023-04-30,640
PROD000103,2023-04-30,348
PROD000104,2023-04-30,789
PROD000105,2023-04-30,567
PROD000106,2023-04-30,429
PROD000107,2023-04-30,426
PROD000108,2023-04-30,62
PROD000109,2023-04-30,778
PROD000110,2023-04-30,128
PROD000111,2023-04-30,776
PROD000112,2023-04-30,62
PROD000113,2023-04-30,251
PROD000114,2023-04-30,482
PROD000115,2023-04-30,28
PROD000116,2023-04-30,682
PROD000117,2023-04-30,784
PROD000118,2023-04-30,567
PROD000119,2023-04-30,398
PROD000120,2023-04-30,520
PROD000121,2023-04-30,362
PROD000122,2023-04-30,161
PROD000123,2023-04-30,230
PROD000124,2023-04-30,708
PROD000125,2023-04-30,129
PROD000126,2023-04-30,549
PROD000127,2023-04-30,431
PROD000128,2023-04-30,626
PROD000129,2023-04-30,230
PROD000130,2023-04-30,508
PROD000131,2023-04-30,186
PROD000132,2023-04-30,99
PROD000133,2023-04-30,631
PROD000134,2023-04-30,211
PROD000135,2023-04-30,777
PROD000136,2023-04-30,621
PROD000137,2023-04-30,557
PROD000138,2023-04-30,410
PROD000139,2023-04-30,696
PROD000140,2023-04-30,140
PROD000141,2023-04-30,654
PROD000142,2023-04-30,531
PROD000143,2023-04-30,548
PROD000144,2023-04-30,457
PROD000145,2023-04-30,599
PROD000146,2023-04-30,264
PROD000147,2023-04-30,89
PROD000148,2023-04-30,547
PROD000149,2023-04-30,625
PROD000150,2023-04-30,536
PROD000001,2023-05-31,592
PROD000002,2023-05-31,846
PROD000003,2023-05-31,34
PROD000004,2023-05-31,176
PROD000005,2023-05-31,385
PROD000006,2023-05-31,616
PROD000007,2023-05-31,598
PROD000008,2023-05-31,439
PROD000009,2023-05-31,57
PROD000010,2023-05-31,36
PROD000011,2023-05-31,703
PROD000012,2023-05-31,148
PROD000013,2023-05-31,222
PROD000014,2023-05-31,458
PROD000015,2023-05-31,113
PROD000016,2023-05-31,350
PROD000017,2023-05-31,679
PROD000018,2023-05-31,196
PROD000019,2023-05-31,599
PROD000020,2023-05-31,398
PROD000021,2023-05-31,638
PROD000022,2023-05-31,303
PROD000023,2023-05-31,671
PROD000024,2023-05-31,359
PROD000025,2023-05-31,614
PROD000026,2023-05-31,300
PROD000027,2023-05-31,230
PROD000028,2023-05-31,455
PROD000029,2023-05-31,203
PROD000030,2023-05-31,460
PROD000031,2023-05-31,614
PROD000032,2023-05-31,654
PROD000033,2023-05-31,732
PROD000034,2023-05-31,630
PROD000035,2023-05-31,365
PROD000036,2023-05-31,302
PROD000037,2023-05-31,128
PROD000038,2023-05-31,840
PROD000039,2023-05-31,607
PROD000040,2023-05-31,127
PROD000041,2023-05-31,707
PROD000042,2023-05-31,638
PROD000043,2023-05-31,677
PROD000044,2023-05-31,774
PROD000045,2023-05-31,361
PROD000046,2023-05-31,133
PROD000047,2023-05-31,267
PROD000048,2023-05-31,245
PROD000049,2023-05-31,398
PROD000050,2023-05-31,171
PROD000051,2023-05-31,103
PROD000052,2023-05-31,203
PROD000053,2023-05-31,781
PROD000054,2023-05-31,68
PROD000055,2023-05-31,565
PROD000056,2023-05-31,248
PROD000057,2023-05-31,385
PROD000058,2023-05-31,389
PROD000059,2023-05-31,718
PROD000060,2023-05-31,458
PROD000061,2023-05-31,676
PROD000062,2023-05-31,678
PROD000063,2023-05-31,277
PROD000064,2023-05-31,608
PROD000065,2023-05-31,742
PROD000066,2023-05-31,62
PROD000067,2023-05-31,636
PROD000068,2023-05-31,463
PROD000069,2023-05-31,33
PROD000070,2023-05-31,730
PROD000071,2023-05-31,769
PROD000072,2023-05-31,484
PROD000073,2023-05-31,746
PROD000074,2023-05-31,623
PROD000075,2023-05-31,451
PROD000076,2023-05-31,628
PROD000077,2023-05-31,780
PROD000078,2023-05-31,353
PROD000079,2023-05-31,514
PROD000080,2023-05-31,758
PROD000081,2023-05-31,760
PROD000082,2023-05-31,661
PROD000083,2023-05-31,179
PROD000084,2023-05-31,673
PROD000085,2023-05-31,353
PROD000086,2023-05-31,701
PROD000087,2023-05-31,63
PROD000088,2023-05-31,682
PROD000089,2023-05-31,17
PROD000090,2023-05-31,137
PROD000091,2023-05-31,611
PROD000092,2023-05-31,702
PROD000093,2023-05-31,505
PROD000094,2023-05-31,170
PROD000095,2023-05-31,557
PROD000096,2023-05-31,429
PROD000097,2023-05-31,720
PROD000098,2023-05-31,785
PROD000099,2023-05-31,131
PROD000100,2023-05-31,458
PROD000101,2023-05-31,376
PROD000102,2023-05-31,590
PROD000103,2023-05-31,218
PROD000104,2023-05-31,790
PROD000105,2023-05-31,701
PROD000106,2023-05-31,537
PROD000107,2023-05-31,271
PROD000108,2023-05-31,65
PROD000109,2023-05-31,776
PROD000110,2023-05-31,84
PROD000111,2023-05-31,650
PROD000112,2023-05-31,169
PROD000113,2023-05-31,249
PROD000114,2023-05-31,433
PROD000115,2023-05-31,27
PROD000116,2023-05-31,681
PROD000117,2023-05-31,784
PROD000118,2023-05-31,567
PROD000119,2023-05-31,458
PROD000120,2023-05-31,519
PROD000121,2023-05-31,409
PROD000122,2023-05-31,225
PROD000123,2023-05-31,226
PROD000124,2023-05-31,708
PROD000125,2023-05-31,129
PROD000126,2023-05-31,550
PROD000127,2023-05-31,323
PROD000128,2023-05-31,627
PROD000129,2023-05-31,230
PROD000130,2023-05-31,504
PROD000131,2023-05-31,184
PROD000132,2023-05-31,101
PROD000133,2023-05-31,797
PROD000134,2023-05-31,211
PROD000135,2023-05-31,776
PROD000136,2023-05-31,622
PROD000137,2023-05-31,595
PROD000138,2023-05-31,407
PROD000139,2023-05-31,696
PROD000140,2023-05-31,139
PROD000141,2023-05-31,695
PROD000142,2023-05-31,528
PROD000143,2023-05-31,441
PROD000144,2023-05-31,325
PROD000145,2023-05-31,597
PROD000146,2023-05-31,186
PROD000147,2023-05-31,154
PROD000148,2023-05-31,625
PROD000149,2023-05-31,627
PROD000150,2023-05-31,417
PROD000001,2023-06-30,497
PROD000002,2023-06-30,665
PROD000003,2023-06-30,94
PROD000004,2023-06-30,88
PROD000005,2023-06-30,437
PROD000006,2023-06-30,616
PROD000007,2023-06-30,738
PROD000008,2023-06-30,600
PROD000009,2023-06-30,56
PROD000010,2023-06-30,33
PROD000011,2023-06-30,702
PROD000012,2023-06-30,151
PROD000013,2023-06-30,295
PROD000014,2023-06-30,455
PROD000015,2023-06-30,112
PROD000016,2023-06-30,351
PROD000017,2023-06-30,678
PROD000018,2023-06-30,193
PROD000019,2023-06-30,603
PROD000020,2023-06-30,397
PROD000021,2023-06-30,686
PROD000022,2023-06-30,161
PROD000023,2023-06-30,742
PROD000024,2023-06-30,360
PROD000025,2023-06-30,649
PROD000026,2023-06-30,119
PROD000027,2023-06-30,285
PROD000028,2023-06-30,453
PROD000029,2023-06-30,202
PROD000030,2023-06-30,460
PROD000031,2023-06-30,797
PROD000032,2023-06-30,654
PROD000033,2023-06-30,729
PROD000034,2023-06-30,621
PROD000035,2023-06-30,367
PROD000036,2023-06-30,301
PROD000037,2023-06-30,128
PROD000038,2023-06-30,770
PROD000039,2023-06-30,605
PROD000040,2023-06-30,124
PROD000041,2023-06-30,706
PROD000042,2023-06-30,639
PROD000043,2023-06-30,848
PROD000044,2023-06-30,852
PROD000045,2023-06-30,358
PROD000046,2023-06-30,133
PROD000047,2023-06-30,271
PROD000048,2023-06-30,285
PROD000049,2023-06-30,393
PROD000050,2023-06-30,170
PROD000051,2023-06-30,192
PROD000052,2023-06-30,198
PROD000053,2023-06-30,782
PROD000054,2023-06-30,242
PROD000055,2023-06-30,624
PROD000056,2023-06-30,249
PROD000057,2023-06-30,384
PROD000058,2023-06-30,582
PROD000059,2023-06-30,717
PROD000060,2023-06-30,455
PROD000061,2023-06-30,683
PROD000062,2023-06-30,673
PROD000063,2023-06-30,280
PROD000064,2023-06-30,559
PROD000065,2023-06-30,745
PROD000066,2023-06-30,62
PROD000067,2023-06-30,638
PROD000068,2023-06-30,462
PROD000069,2023-06-30,36
PROD000070,2023-06-30,776
PROD000071,2023-06-30,768
PROD000072,2023-06-30,485
PROD000073,2023-06-30,743
PROD000074,2023-06-30,694
PROD000075,2023-06-30,533
PROD000076,2023-06-30,722
PROD000077,2023-06-30,780
PROD000078,2023-06-30,351
PROD000079,2023-06-30,514
PROD000080,2023-06-30,938
PROD000081,2023-06-30,759
PROD000082,2023-06-30,557
PROD000083,2023-06-30,363
PROD000084,2023-06-30,781
PROD000085,2023-06-30,349
PROD000086,2023-06-30,876
PROD000087,2023-06-30,65
PROD000088,2023-06-30,852
PROD000089,2023-06-30,17
PROD000090,2023-06-30,248
PROD000091,2023-06-30,609
PROD000092,2023-06-30,730
PROD000093,2023-06-30,500
PROD000094,2023-06-30,171
PROD000095,2023-06-30,628
PROD000096,2023-06-30,433
PROD000097,2023-06-30,786
PROD000098,2023-06-30,785
PROD000099,2023-06-30,226
PROD000100,2023-06-30,342
PROD000101,2023-06-30,376
PROD000102,2023-06-30,669
PROD000103,2023-06-30,377
PROD000104,2023-06-30,788
PROD000105,2023-06-30,760
PROD000106,2023-06-30,428
PROD000107,2023-06-30,272
PROD000108,2023-06-30,62
PROD000109,2023-06-30,777
PROD000110,2023-06-30,83
PROD000111,2023-06-30,589
PROD000112,2023-06-30,97
PROD000113,2023-06-30,252
PROD000114,2023-06-30,489
PROD000115,2023-06-30,24
PROD000116,2023-06-30,679
PROD000117,2023-06-30,780
PROD000118,2023-06-30,566
PROD000119,2023-06-30,458
PROD000120,2023-06-30,517
PROD000121,2023-06-30,358
PROD000122,2023-06-30,163
PROD000123,2023-06-30,357
PROD000124,2023-06-30,707
PROD000125,2023-06-30,126
PROD000126,2023-06-30,545
PROD000127,2023-06-30,320
PROD000128,2023-06-30,566
PROD000129,2023-06-30,266
PROD000130,2023-06-30,505
PROD000131,2023-06-30,184
PROD000132,2023-06-30,181
PROD000133,2023-06-30,754
PROD000134,2023-06-30,369
PROD000135,2023-06-30,777
PROD000136,2023-06-30,623
PROD000137,2023-06-30,552
PROD000138,2023-06-30,445
PROD000139,2023-06-30,695
PROD000140,2023-06-30,138
PROD000141,2023-06-30,653
PROD000142,2023-06-30,529
PROD000143,2023-06-30,443
PROD000144,2023-06-30,324
PROD000145,2023-06-30,599
PROD000146,2023-06-30,184
PROD000147,2023-06-30,88
PROD000148,2023-06-30,546
PROD000149,2023-06-30,622
PROD000150,2023-06-30,355
PROD000001,2023-07-31,494
PROD000002,2023-07-31,796
PROD000003,2023-07-31,35
PROD000004,2023-07-31,90
PROD000005,2023-07-31,298
PROD000006,2023-07-31,617
PROD000007,2023-07-31,598
PROD000008,2023-07-31,437
PROD000009,2023-07-31,61
PROD000010,2023-07-31,32
PROD000011,2023-07-31,738
PROD000012,2023-07-31,192
PROD000013,2023-07-31,219
PROD000014,2023-07-31,460
PROD000015,2023-07-31,108
PROD000016,2023-07-31,547
PROD000017,2023-07-31,677
PROD000018,2023-07-31,353
PROD000019,2023-07-31,596
PROD000020,2023-07-31,397
PROD000021,2023-07-31,636
PROD000022,2023-07-31,164
PROD000023,2023-07-31,763
PROD000024,2023-07-31,408
PROD000025,2023-07-31,609
PROD000026,2023-07-31,120
PROD000027,2023-07-31,229
PROD000028,2023-07-31,452
PROD000029,2023-07-31,203
PROD000030,2023-07-31,457
